pruning_type,sparsity_ratio,emissions,perplexity
wanda,1.0977446106431398e-06,0.004017246658980021,5.677263259887695
wanda,0.09986996033031088,0.012148211842664371,5.696265697479248
wanda,0.29984010686528495,0.010719533754479853,5.998607635498047
wanda,0.5,0.01203387807900773,7.257486343383789
wanda,0.6999499068976683,0.010308088470407033,87.77680206298828
wanda,0.8999200534326425,0.009916691594835516,0
magnitude,1.0977446106431398e-06,0.004986216659158454,5.677263259887695
magnitude,0.10003495046511833,0.003945943178611392,5.805983066558838
magnitude,0.30011640805654577,0.0038329410159314544,6.668586730957031
magnitude,0.5001332871036827,0.003979662147525471,17.285097122192383
magnitude,0.7001718474175646,0.003935676640775438,0
magnitude,0.9001300941786,0.004940633739734245,0
wanda,1.0977446106431398e-06,0.005121331962201521,5.677263259887695
magnitude,1.0977446106431398e-06,0.004147112380043721,5.677263259887695
magnitude,0.10003495046511833,0.004115725303373919,5.805983066558838
magnitude,0.30011640805654577,0.004452758709657688,6.668586730957031
magnitude,0.5001332871036827,0.005232930890417737,17.285097122192383
magnitude,0.7001718474175646,0.004051579228493849,48416.859375
magnitude,0.9001300941786,0.004004390142185905,317849.5625
magnitude,1.0977446106431398e-06,0.0041570849089409695,5.677263259887695
magnitude,0.10003495046511833,0.004250761778257559,5.805983066558838
magnitude,0.30011640805654577,0.004103911079909857,6.668586730957031
magnitude,0.5001332871036827,0.004094177545552922,17.285097122192383
magnitude,0.7001718474175646,0.0041500540523988294,48416.859375
magnitude,0.9001300941786,0.004082473596874089,317849.5625
wanda,1.0977446106431398e-06,0.004137441560651098,5.677263259887695
wanda,0.09986996033031088,0.011196062178549345,5.696265697479248
wanda,0.29984010686528495,0.012086835966594225,5.998607635498047
wanda,0.5,0.011145003557250394,7.257486343383789
wanda,0.6999499068976683,0.010620638488167326,87.77680206298828
wanda,0.8999200534326425,0.012041075764703453,10556.2353515625
magnitude,1.0977446106431398e-06,0.004594473637216855,5.677263259887695
magnitude,0.10003495046511833,0.0041202812600901655,5.805983066558838
magnitude,0.30011640805654577,0.0042565430962710855,6.668586730957031
magnitude,0.5001332871036827,0.0042644705033903834,17.285097122192383
magnitude,0.7001718474175646,0.004102226384114434,48416.859375
magnitude,0.9001300941786,0.004801513701693991,317849.5625
wanda,1.0977446106431398e-06,0.0043746842601981905,5.677263259887695
