pruning_type,sparsity_ratio,emissions
magnitude,0.1,2.4540631734624443e-05
magnitude,0.3,2.6345653923160883e-05
magnitude,0.5,2.41444176411522e-05
magnitude,0.7,2.6441584973753112e-05
magnitude,0.9,2.3314476280700152e-05
wanda,0.1,0.006604461603783493
wanda,0.3,0.00692488659158605
wanda,0.5,0.006570903464835947
wanda,0.7,0.0064793456678129795
wanda,0.9,0.006492757784112642
magnitude,0.1,2.3912415875032556e-05
magnitude,0.3,2.0948641309162174e-05
